ResetId	SymbolId	OpType	Duration	Input	Output
2233	3	TimedIO	100718900	Finished	ChangeCipherSpecHandshakeFinished
2233	4	TimedIO	898100	ChangeCipherSpec	Alert2.10ConnectionClosed
2234	-1	Reset	993800	Reset	Reset
2234	0	TimedIO	100931300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2234	1	TimedIO	100296100	ClientKeyExchange	Empty
2234	2	TimedIO	100408100	ChangeCipherSpec	Empty
2234	3	TimedIO	100718000	Finished	ChangeCipherSpecHandshakeFinished
2234	4	TimedIO	468600	ClientKeyExchange	Alert2.10ConnectionClosed
2235	-1	Reset	338500	Reset	Reset
2235	0	TimedIO	100435300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2235	1	TimedIO	100423500	ClientKeyExchange	Empty
2235	2	TimedIO	100252400	ChangeCipherSpec	Empty
2235	3	TimedIO	101438600	Finished	ChangeCipherSpecHandshakeFinished
2235	4	TimedIO	438700	Alert10	ConnectionClosed
2236	-1	Reset	655100	Reset	Reset
2236	0	TimedIO	100498400	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2236	1	TimedIO	100456300	ClientKeyExchange	Empty
2236	2	TimedIO	100271900	ChangeCipherSpec	Empty
2236	3	TimedIO	101260300	Finished	ChangeCipherSpecHandshakeFinished
2236	4	TimedIO	762200	Finished	Alert2.10ConnectionClosed
2237	-1	Reset	707700	Reset	Reset
2237	0	TimedIO	100750500	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2237	1	TimedIO	100311200	ClientKeyExchange	Empty
2237	2	TimedIO	100307800	ChangeCipherSpec	Empty
2237	3	TimedIO	101204300	Finished	ChangeCipherSpecHandshakeFinished
2237	4	TimedIO	629000	ClientHelloRSA	Alert2.40ConnectionClosed
2238	-1	Reset	699000	Reset	Reset
2238	0	TimedIO	100667900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2238	1	TimedIO	100327800	ClientKeyExchange	Empty
2238	2	TimedIO	100441500	ChangeCipherSpec	Empty
2238	3	TimedIO	101071800	Finished	ChangeCipherSpecHandshakeFinished
2238	4	TimedIO	534500	ApplicationData	ApplicationDataConnectionClosed
2239	-1	Reset	705000	Reset	Reset
2239	0	TimedIO	100555900	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2239	1	TimedIO	100347700	ClientKeyExchange	Empty
2239	2	TimedIO	100396000	ChangeCipherSpec	Empty
2239	3	TimedIO	100640700	Finished	ChangeCipherSpecHandshakeFinished
2239	4	TimedIO	100243400	ApplicationDataEmpty	Empty
2240	-1	Reset	577600	Reset	Reset
2240	0	TimedIO	100703400	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2240	1	TimedIO	100262300	ClientKeyExchange	Empty
2240	2	TimedIO	100277100	ChangeCipherSpec	Empty
2240	3	TimedIO	101266900	Finished	ChangeCipherSpecHandshakeFinished
2240	4	TimedIO	731700	ClientHelloDHE	Alert2.40ConnectionClosed
2241	-1	Reset	697000	Reset	Reset
2241	0	TimedIO	100775300	ClientHelloRSA	HandshakeServerHelloTLSv12HandshakeCertificateHandshakeServerHelloDone
2241	1	TimedIO	100313000	ClientKeyExchange	Empty
2241	2	TimedIO	100249100	ChangeCipherSpec	Empty
2241	3	TimedIO	100635800	Finished	ChangeCipherSpecHandshakeFinished
2241	4	TimedIO	873500	EmptyCertificate	Alert2.10ConnectionClosed
2242	-1	Reset	782900	Reset	Reset
2242	0	TimedIO	298900	ApplicationData	Alert2.10ConnectionClosed
2243	-1	Reset	175200	Reset	Reset
